contrast,time,channel,t_obs,cluster,p_val
blurr_left - normal_left,0.8040,F6,0.1881,NA,1.0000
blurr_left - normal_left,0.8040,F8,8.6190,NA,1.0000
blurr_left - normal_left,0.8040,F10,22.1693,pos_148,1.0000
blurr_left - normal_left,0.8040,FT7,0.0565,NA,1.0000
blurr_left - normal_left,0.8040,FC5,-1.0230,NA,1.0000
blurr_left - normal_left,0.8040,FC3,0.3177,NA,1.0000
blurr_left - normal_left,0.8040,FC1,-2.7552,NA,1.0000
blurr_left - normal_left,0.8040,FC2,-6.7388,NA,1.0000
blurr_left - normal_left,0.8040,FC4,-12.3686,NA,1.0000
blurr_left - normal_left,0.8040,FC6,-0.2748,NA,1.0000
blurr_left - normal_left,0.8040,FT8,-0.1526,NA,1.0000
blurr_left - normal_left,0.8040,T7,0.1238,NA,1.0000
blurr_left - normal_left,0.8040,C5,3.7107,NA,1.0000
blurr_left - normal_left,0.8040,C3,5.0576,NA,1.0000
blurr_left - normal_left,0.8040,C1,5.7378,NA,1.0000
blurr_left - normal_left,0.8040,Cz,-1.9248,NA,1.0000
blurr_left - normal_left,0.8040,C2,-38.9349,neg_258,1.0000
blurr_left - normal_left,0.8040,C4,-34.6263,neg_258,1.0000
blurr_left - normal_left,0.8040,C6,-0.6340,NA,1.0000
blurr_left - normal_left,0.8040,T8,-0.4678,NA,1.0000
blurr_left - normal_left,0.8040,TP9,1.8896,NA,1.0000
blurr_left - normal_left,0.8040,TP7,3.5590,NA,1.0000
blurr_left - normal_left,0.8040,CP5,8.3245,NA,1.0000
blurr_left - normal_left,0.8040,CP3,6.2593,NA,1.0000
blurr_left - normal_left,0.8040,CP1,2.0139,NA,1.0000
blurr_left - normal_left,0.8040,CPz,-2.5207,NA,1.0000
blurr_left - normal_left,0.8040,CP2,-14.6378,neg_258,1.0000
blurr_left - normal_left,0.8040,CP4,-3.3105,NA,1.0000
blurr_left - normal_left,0.8040,CP6,-0.7341,NA,1.0000
blurr_left - normal_left,0.8040,TP8,-0.1243,NA,1.0000
blurr_left - normal_left,0.8040,TP10,-0.1292,NA,1.0000
blurr_left - normal_left,0.8040,P7,2.6964,NA,1.0000
blurr_left - normal_left,0.8040,P5,3.1550,NA,1.0000
blurr_left - normal_left,0.8040,P3,2.4623,NA,1.0000
blurr_left - normal_left,0.8040,Pz,-1.5516,NA,1.0000
blurr_left - normal_left,0.8040,P4,-2.5354,NA,1.0000
blurr_left - normal_left,0.8040,P6,-1.1314,NA,1.0000
blurr_left - normal_left,0.8040,P8,-0.5912,NA,1.0000
blurr_left - normal_left,0.8040,PO9,3.0747,NA,1.0000
blurr_left - normal_left,0.8040,PO7,2.9294,NA,1.0000
blurr_left - normal_left,0.8040,PO3,1.4950,NA,1.0000
blurr_left - normal_left,0.8040,POz,-4.5353,NA,1.0000
blurr_left - normal_left,0.8040,PO4,-3.2667,NA,1.0000
blurr_left - normal_left,0.8040,PO8,-0.9718,NA,1.0000
blurr_left - normal_left,0.8040,PO10,-0.3259,NA,1.0000
blurr_left - normal_left,0.8040,O1,1.9940,NA,1.0000
blurr_left - normal_left,0.8040,Oz,-1.0543,NA,1.0000
blurr_left - normal_left,0.8040,O2,-1.2815,NA,1.0000
blurr_left - normal_left,0.8060,Fp1,0.5611,NA,1.0000
blurr_left - normal_left,0.8060,Fpz,-2.2924,NA,1.0000
blurr_left - normal_left,0.8060,Fp2,-1.0029,NA,1.0000
blurr_left - normal_left,0.8060,AF7,-0.0653,NA,1.0000
blurr_left - normal_left,0.8060,AF3,-1.7549,NA,1.0000
blurr_left - normal_left,0.8060,AFz,-2.6198,NA,1.0000
blurr_left - normal_left,0.8060,AF4,-3.9369,NA,1.0000
blurr_left - normal_left,0.8060,AF8,0.4584,NA,1.0000
blurr_left - normal_left,0.8060,F9,-0.6113,NA,1.0000
blurr_left - normal_left,0.8060,F7,-1.3204,NA,1.0000
blurr_left - normal_left,0.8060,F5,-1.7662,NA,1.0000
blurr_left - normal_left,0.8060,F3,-4.2017,NA,1.0000
blurr_left - normal_left,0.8060,Fz,-4.9514,NA,1.0000
blurr_left - normal_left,0.8060,F4,-9.6263,NA,1.0000
blurr_left - normal_left,0.8060,F6,1.3431,NA,1.0000
blurr_left - normal_left,0.8060,F8,118.2721,pos_149,1.0000
blurr_left - normal_left,0.8060,F10,9.6783,NA,1.0000
blurr_left - normal_left,0.8060,FT7,0.0980,NA,1.0000
blurr_left - normal_left,0.8060,FC5,-0.9604,NA,1.0000
blurr_left - normal_left,0.8060,FC3,0.5166,NA,1.0000
blurr_left - normal_left,0.8060,FC1,-3.4349,NA,1.0000
blurr_left - normal_left,0.8060,FC2,-4.6225,NA,1.0000
blurr_left - normal_left,0.8060,FC4,-60.9324,neg_258,1.0000
blurr_left - normal_left,0.8060,FC6,-0.5620,NA,1.0000
blurr_left - normal_left,0.8060,FT8,-0.4121,NA,1.0000
blurr_left - normal_left,0.8060,T7,-0.1428,NA,1.0000
blurr_left - normal_left,0.8060,C5,4.1557,NA,1.0000
blurr_left - normal_left,0.8060,C3,6.0818,NA,1.0000
blurr_left - normal_left,0.8060,C1,24.2276,pos_150,1.0000
blurr_left - normal_left,0.8060,Cz,-2.2602,NA,1.0000
blurr_left - normal_left,0.8060,C2,-48.0135,neg_258,1.0000
blurr_left - normal_left,0.8060,C4,-111.1763,neg_258,1.0000
blurr_left - normal_left,0.8060,C6,-0.5975,NA,1.0000
blurr_left - normal_left,0.8060,T8,-0.5039,NA,1.0000
blurr_left - normal_left,0.8060,TP9,1.4639,NA,1.0000
blurr_left - normal_left,0.8060,TP7,4.1794,NA,1.0000
blurr_left - normal_left,0.8060,CP5,7.8485,NA,1.0000
blurr_left - normal_left,0.8060,CP3,6.1919,NA,1.0000
blurr_left - normal_left,0.8060,CP1,2.1206,NA,1.0000
blurr_left - normal_left,0.8060,CPz,-2.6304,NA,1.0000
blurr_left - normal_left,0.8060,CP2,-11.9662,NA,1.0000
blurr_left - normal_left,0.8060,CP4,-3.2273,NA,1.0000
blurr_left - normal_left,0.8060,CP6,-0.7497,NA,1.0000
blurr_left - normal_left,0.8060,TP8,-0.1726,NA,1.0000
blurr_left - normal_left,0.8060,TP10,-0.2372,NA,1.0000
blurr_left - normal_left,0.8060,P7,3.2287,NA,1.0000
blurr_left - normal_left,0.8060,P5,3.3324,NA,1.0000
blurr_left - normal_left,0.8060,P3,2.6481,NA,1.0000
blurr_left - normal_left,0.8060,Pz,-1.6146,NA,1.0000
blurr_left - normal_left,0.8060,P4,-2.2907,NA,1.0000
blurr_left - normal_left,0.8060,P6,-1.0560,NA,1.0000
blurr_left - normal_left,0.8060,P8,-0.5548,NA,1.0000
blurr_left - normal_left,0.8060,PO9,4.4000,NA,1.0000
blurr_left - normal_left,0.8060,PO7,3.4438,NA,1.0000
blurr_left - normal_left,0.8060,PO3,1.7842,NA,1.0000
blurr_left - normal_left,0.8060,POz,-7.2682,NA,1.0000
blurr_left - normal_left,0.8060,PO4,-2.6371,NA,1.0000
blurr_left - normal_left,0.8060,PO8,-0.8538,NA,1.0000
blurr_left - normal_left,0.8060,PO10,-0.2681,NA,1.0000
blurr_left - normal_left,0.8060,O1,2.7241,NA,1.0000
blurr_left - normal_left,0.8060,Oz,-0.2671,NA,1.0000
blurr_left - normal_left,0.8060,O2,-0.9666,NA,1.0000
blurr_left - normal_left,0.8080,Fp1,0.4550,NA,1.0000
blurr_left - normal_left,0.8080,Fpz,-1.2425,NA,1.0000
blurr_left - normal_left,0.8080,Fp2,-0.7329,NA,1.0000
blurr_left - normal_left,0.8080,AF7,-0.1383,NA,1.0000
blurr_left - normal_left,0.8080,AF3,-2.2046,NA,1.0000
blurr_left - normal_left,0.8080,AFz,-1.5539,NA,1.0000
blurr_left - normal_left,0.8080,AF4,-7.8230,NA,1.0000
blurr_left - normal_left,0.8080,AF8,0.4228,NA,1.0000
blurr_left - normal_left,0.8080,F9,-0.6649,NA,1.0000
blurr_left - normal_left,0.8080,F7,-1.4663,NA,1.0000
blurr_left - normal_left,0.8080,F5,-1.3828,NA,1.0000
blurr_left - normal_left,0.8080,F3,-1.9967,NA,1.0000
blurr_left - normal_left,0.8080,Fz,-2.9065,NA,1.0000
blurr_left - normal_left,0.8080,F4,-3.4744,NA,1.0000
blurr_left - normal_left,0.8080,F6,0.2310,NA,1.0000
blurr_left - normal_left,0.8080,F8,6.7187,NA,1.0000
blurr_left - normal_left,0.8080,F10,5.6512,NA,1.0000
blurr_left - normal_left,0.8080,FT7,0.1723,NA,1.0000
blurr_left - normal_left,0.8080,FC5,-0.6195,NA,1.0000
blurr_left - normal_left,0.8080,FC3,0.7682,NA,1.0000
blurr_left - normal_left,0.8080,FC1,-4.0010,NA,1.0000
blurr_left - normal_left,0.8080,FC2,-3.7731,NA,1.0000
blurr_left - normal_left,0.8080,FC4,-11.4046,NA,1.0000
blurr_left - normal_left,0.8080,FC6,-0.8063,NA,1.0000
blurr_left - normal_left,0.8080,FT8,-0.6261,NA,1.0000
blurr_left - normal_left,0.8080,T7,-0.6720,NA,1.0000
blurr_left - normal_left,0.8080,C5,4.8626,NA,1.0000
blurr_left - normal_left,0.8080,C3,7.0653,NA,1.0000
blurr_left - normal_left,0.8080,C1,26.5468,pos_150,1.0000
blurr_left - normal_left,0.8080,Cz,-2.4045,NA,1.0000
blurr_left - normal_left,0.8080,C2,-43.2205,neg_258,1.0000
blurr_left - normal_left,0.8080,C4,-78.9769,neg_258,1.0000
blurr_left - normal_left,0.8080,C6,-0.5851,NA,1.0000
blurr_left - normal_left,0.8080,T8,-0.4933,NA,1.0000
blurr_left - normal_left,0.8080,TP9,1.2033,NA,1.0000
blurr_left - normal_left,0.8080,TP7,5.6238,NA,1.0000
blurr_left - normal_left,0.8080,CP5,7.6051,NA,1.0000
blurr_left - normal_left,0.8080,CP3,6.3242,NA,1.0000
blurr_left - normal_left,0.8080,CP1,2.2630,NA,1.0000
blurr_left - normal_left,0.8080,CPz,-3.0202,NA,1.0000
blurr_left - normal_left,0.8080,CP2,-9.5530,NA,1.0000
blurr_left - normal_left,0.8080,CP4,-3.1510,NA,1.0000
blurr_left - normal_left,0.8080,CP6,-0.7900,NA,1.0000
blurr_left - normal_left,0.8080,TP8,-0.2362,NA,1.0000
blurr_left - normal_left,0.8080,TP10,-0.3218,NA,1.0000
blurr_left - normal_left,0.8080,P7,4.0037,NA,1.0000
blurr_left - normal_left,0.8080,P5,3.5576,NA,1.0000
blurr_left - normal_left,0.8080,P3,2.8392,NA,1.0000
blurr_left - normal_left,0.8080,Pz,-1.8090,NA,1.0000
blurr_left - normal_left,0.8080,P4,-2.1076,NA,1.0000
blurr_left - normal_left,0.8080,P6,-1.0182,NA,1.0000
blurr_left - normal_left,0.8080,P8,-0.5382,NA,1.0000
blurr_left - normal_left,0.8080,PO9,6.6408,NA,1.0000
blurr_left - normal_left,0.8080,PO7,3.9651,NA,1.0000
blurr_left - normal_left,0.8080,PO3,2.1174,NA,1.0000
blurr_left - normal_left,0.8080,POz,-31.8455,neg_246,1.0000
blurr_left - normal_left,0.8080,PO4,-2.2517,NA,1.0000
blurr_left - normal_left,0.8080,PO8,-0.7868,NA,1.0000
blurr_left - normal_left,0.8080,PO10,-0.2597,NA,1.0000
blurr_left - normal_left,0.8080,O1,3.8615,NA,1.0000
blurr_left - normal_left,0.8080,Oz,-0.0927,NA,1.0000
blurr_left - normal_left,0.8080,O2,-0.8254,NA,1.0000
blurr_left - normal_left,0.8100,Fp1,0.3756,NA,1.0000
blurr_left - normal_left,0.8100,Fpz,-0.9621,NA,1.0000
blurr_left - normal_left,0.8100,Fp2,-0.5941,NA,1.0000
blurr_left - normal_left,0.8100,AF7,-0.1899,NA,1.0000
blurr_left - normal_left,0.8100,AF3,-2.6644,NA,1.0000
blurr_left - normal_left,0.8100,AFz,-1.1638,NA,1.0000
blurr_left - normal_left,0.8100,AF4,-2.0629,NA,1.0000
blurr_left - normal_left,0.8100,AF8,0.3983,NA,1.0000
blurr_left - normal_left,0.8100,F9,-0.7029,NA,1.0000
blurr_left - normal_left,0.8100,F7,-1.8159,NA,1.0000
blurr_left - normal_left,0.8100,F5,-1.1360,NA,1.0000
blurr_left - normal_left,0.8100,F3,-1.1868,NA,1.0000
blurr_left - normal_left,0.8100,Fz,-2.0978,NA,1.0000
blurr_left - normal_left,0.8100,F4,-1.8600,NA,1.0000
blurr_left - normal_left,0.8100,F6,0.1519,NA,1.0000
blurr_left - normal_left,0.8100,F8,3.4250,NA,1.0000
blurr_left - normal_left,0.8100,F10,3.7017,NA,1.0000
blurr_left - normal_left,0.8100,FT7,0.2655,NA,1.0000
blurr_left - normal_left,0.8100,FC5,0.0633,NA,1.0000
blurr_left - normal_left,0.8100,FC3,1.0022,NA,1.0000
blurr_left - normal_left,0.8100,FC1,-3.2159,NA,1.0000
blurr_left - normal_left,0.8100,FC2,-3.4801,NA,1.0000
blurr_left - normal_left,0.8100,FC4,-8.6873,NA,1.0000
blurr_left - normal_left,0.8100,FC6,-0.9581,NA,1.0000
blurr_left - normal_left,0.8100,FT8,-0.7673,NA,1.0000
blurr_left - normal_left,0.8100,T7,-1.8937,NA,1.0000
blurr_left - normal_left,0.8100,C5,5.6999,NA,1.0000
blurr_left - normal_left,0.8100,C3,7.4683,NA,1.0000
blurr_left - normal_left,0.8100,C1,15.7777,pos_150,1.0000
blurr_left - normal_left,0.8100,Cz,-1.9151,NA,1.0000
blurr_left - normal_left,0.8100,C2,-29.7517,neg_258,1.0000
blurr_left - normal_left,0.8100,C4,-32.6299,neg_258,1.0000
blurr_left - normal_left,0.8100,C6,-0.6261,NA,1.0000
blurr_left - normal_left,0.8100,T8,-0.4648,NA,1.0000
blurr_left - normal_left,0.8100,TP9,1.2447,NA,1.0000
blurr_left - normal_left,0.8100,TP7,8.3523,NA,1.0000
blurr_left - normal_left,0.8100,CP5,7.7213,NA,1.0000
blurr_left - normal_left,0.8100,CP3,6.7693,NA,1.0000
blurr_left - normal_left,0.8100,CP1,2.4640,NA,1.0000
blurr_left - normal_left,0.8100,CPz,-3.8991,NA,1.0000
blurr_left - normal_left,0.8100,CP2,-7.7278,NA,1.0000
blurr_left - normal_left,0.8100,CP4,-3.0833,NA,1.0000
blurr_left - normal_left,0.8100,CP6,-0.8433,NA,1.0000
blurr_left - normal_left,0.8100,TP8,-0.3096,NA,1.0000
blurr_left - normal_left,0.8100,TP10,-0.3871,NA,1.0000
blurr_left - normal_left,0.8100,P7,4.9203,NA,1.0000
blurr_left - normal_left,0.8100,P5,3.8320,NA,1.0000
blurr_left - normal_left,0.8100,P3,3.0269,NA,1.0000
blurr_left - normal_left,0.8100,Pz,-2.1100,NA,1.0000
blurr_left - normal_left,0.8100,P4,-1.9822,NA,1.0000
blurr_left - normal_left,0.8100,P6,-1.0103,NA,1.0000
blurr_left - normal_left,0.8100,P8,-0.5391,NA,1.0000
blurr_left - normal_left,0.8100,PO9,8.9764,NA,1.0000
blurr_left - normal_left,0.8100,PO7,4.2727,NA,1.0000
blurr_left - normal_left,0.8100,PO3,2.4461,NA,1.0000
blurr_left - normal_left,0.8100,POz,-15.1876,neg_246,1.0000
blurr_left - normal_left,0.8100,PO4,-2.0302,NA,1.0000
blurr_left - normal_left,0.8100,PO8,-0.7587,NA,1.0000
blurr_left - normal_left,0.8100,PO10,-0.2918,NA,1.0000
blurr_left - normal_left,0.8100,O1,5.2949,NA,1.0000
blurr_left - normal_left,0.8100,Oz,-0.0810,NA,1.0000
blurr_left - normal_left,0.8100,O2,-0.7877,NA,1.0000
blurr_left - normal_left,0.8120,Fp1,0.3183,NA,1.0000
blurr_left - normal_left,0.8120,Fpz,-0.9016,NA,1.0000
blurr_left - normal_left,0.8120,Fp2,-0.5429,NA,1.0000
blurr_left - normal_left,0.8120,AF7,-0.2226,NA,1.0000
blurr_left - normal_left,0.8120,AF3,-3.2352,NA,1.0000
blurr_left - normal_left,0.8120,AFz,-1.0024,NA,1.0000
blurr_left - normal_left,0.8120,AF4,-1.3187,NA,1.0000
blurr_left - normal_left,0.8120,AF8,0.3709,NA,1.0000
blurr_left - normal_left,0.8120,F9,-0.7981,NA,1.0000
blurr_left - normal_left,0.8120,F7,-2.8690,NA,1.0000
blurr_left - normal_left,0.8120,F5,-1.0065,NA,1.0000
blurr_left - normal_left,0.8120,F3,-0.7774,NA,1.0000
blurr_left - normal_left,0.8120,Fz,-1.7161,NA,1.0000
blurr_left - normal_left,0.8120,F4,-1.1172,NA,1.0000
blurr_left - normal_left,0.8120,F6,0.1348,NA,1.0000
blurr_left - normal_left,0.8120,F8,2.3009,NA,1.0000
blurr_left - normal_left,0.8120,F10,2.5625,NA,1.0000
blurr_left - normal_left,0.8120,FT7,0.3491,NA,1.0000
blurr_left - normal_left,0.8120,FC5,0.7215,NA,1.0000
blurr_left - normal_left,0.8120,FC3,1.1251,NA,1.0000
blurr_left - normal_left,0.8120,FC1,-1.1236,NA,1.0000
blurr_left - normal_left,0.8120,FC2,-3.5905,NA,1.0000
blurr_left - normal_left,0.8120,FC4,-10.6085,NA,1.0000
blurr_left - normal_left,0.8120,FC6,-1.0395,NA,1.0000
blurr_left - normal_left,0.8120,FT8,-0.8424,NA,1.0000
blurr_left - normal_left,0.8120,T7,0.0134,NA,1.0000
blurr_left - normal_left,0.8120,C5,6.3101,NA,1.0000
blurr_left - normal_left,0.8120,C3,6.9838,NA,1.0000
blurr_left - normal_left,0.8120,C1,22.9771,pos_150,1.0000
blurr_left - normal_left,0.8120,Cz,-0.9091,NA,1.0000
blurr_left - normal_left,0.8120,C2,-18.8742,neg_258,1.0000
blurr_left - normal_left,0.8120,C4,-24.7016,neg_258,1.0000
blurr_left - normal_left,0.8120,C6,-0.7549,NA,1.0000
blurr_left - normal_left,0.8120,T8,-0.4443,NA,1.0000
blurr_left - normal_left,0.8120,TP9,1.9909,NA,1.0000
blurr_left - normal_left,0.8120,TP7,12.0648,NA,1.0000
blurr_left - normal_left,0.8120,CP5,8.3558,NA,1.0000
blurr_left - normal_left,0.8120,CP3,7.7674,NA,1.0000
blurr_left - normal_left,0.8120,CP1,2.7664,NA,1.0000
blurr_left - normal_left,0.8120,CPz,-6.1343,NA,1.0000
blurr_left - normal_left,0.8120,CP2,-6.4274,NA,1.0000
blurr_left - normal_left,0.8120,CP4,-3.0214,NA,1.0000
blurr_left - normal_left,0.8120,CP6,-0.8959,NA,1.0000
blurr_left - normal_left,0.8120,TP8,-0.3872,NA,1.0000
blurr_left - normal_left,0.8120,TP10,-0.4386,NA,1.0000
blurr_left - normal_left,0.8120,P7,5.5882,NA,1.0000
blurr_left - normal_left,0.8120,P5,4.1445,NA,1.0000
blurr_left - normal_left,0.8120,P3,3.2058,NA,1.0000
blurr_left - normal_left,0.8120,Pz,-2.4080,NA,1.0000
blurr_left - normal_left,0.8120,P4,-1.9036,NA,1.0000
blurr_left - normal_left,0.8120,P6,-1.0231,NA,1.0000
blurr_left - normal_left,0.8120,P8,-0.5546,NA,1.0000
blurr_left - normal_left,0.8120,PO9,8.4132,NA,1.0000
blurr_left - normal_left,0.8120,PO7,4.1719,NA,1.0000
blurr_left - normal_left,0.8120,PO3,2.6785,NA,1.0000
blurr_left - normal_left,0.8120,POz,-8.1793,NA,1.0000
blurr_left - normal_left,0.8120,PO4,-1.9177,NA,1.0000
blurr_left - normal_left,0.8120,PO8,-0.7587,NA,1.0000
blurr_left - normal_left,0.8120,PO10,-0.3608,NA,1.0000
blurr_left - normal_left,0.8120,O1,6.0175,NA,1.0000
blurr_left - normal_left,0.8120,Oz,-0.1442,NA,1.0000
blurr_left - normal_left,0.8120,O2,-0.8161,NA,1.0000
blurr_left - normal_left,0.8140,Fp1,0.2772,NA,1.0000
blurr_left - normal_left,0.8140,Fpz,-0.9477,NA,1.0000
blurr_left - normal_left,0.8140,Fp2,-0.5512,NA,1.0000
blurr_left - normal_left,0.8140,AF7,-0.2384,NA,1.0000
blurr_left - normal_left,0.8140,AF3,-4.0731,NA,1.0000
blurr_left - normal_left,0.8140,AFz,-0.9521,NA,1.0000
blurr_left - normal_left,0.8140,AF4,-1.1060,NA,1.0000
blurr_left - normal_left,0.8140,AF8,0.3303,NA,1.0000
blurr_left - normal_left,0.8140,F9,-1.0625,NA,1.0000
blurr_left - normal_left,0.8140,F7,-9.6029,NA,1.0000
blurr_left - normal_left,0.8140,F5,-0.9826,NA,1.0000
blurr_left - normal_left,0.8140,F3,-0.5423,NA,1.0000
blurr_left - normal_left,0.8140,Fz,-1.5495,NA,1.0000
blurr_left - normal_left,0.8140,F4,-0.7019,NA,1.0000
blurr_left - normal_left,0.8140,F6,0.1183,NA,1.0000
blurr_left - normal_left,0.8140,F8,1.7088,NA,1.0000
blurr_left - normal_left,0.8140,F10,1.8285,NA,1.0000
blurr_left - normal_left,0.8140,FT7,0.3762,NA,1.0000
blurr_left - normal_left,0.8140,FC5,0.9832,NA,1.0000
blurr_left - normal_left,0.8140,FC3,1.1178,NA,1.0000
blurr_left - normal_left,0.8140,FC1,0.1656,NA,1.0000
blurr_left - normal_left,0.8140,FC2,-4.2311,NA,1.0000
blurr_left - normal_left,0.8140,FC4,-30.2465,neg_258,1.0000
blurr_left - normal_left,0.8140,FC6,-1.1007,NA,1.0000
blurr_left - normal_left,0.8140,FT8,-0.8738,NA,1.0000
blurr_left - normal_left,0.8140,T7,0.4368,NA,1.0000
blurr_left - normal_left,0.8140,C5,6.2477,NA,1.0000
blurr_left - normal_left,0.8140,C3,5.9512,NA,1.0000
blurr_left - normal_left,0.8140,C1,97.7353,pos_150,1.0000
blurr_left - normal_left,0.8140,Cz,-0.1186,NA,1.0000
blurr_left - normal_left,0.8140,C2,-12.3144,NA,1.0000
blurr_left - normal_left,0.8140,C4,-25.0431,neg_258,1.0000
blurr_left - normal_left,0.8140,C6,-0.9985,NA,1.0000
blurr_left - normal_left,0.8140,T8,-0.4504,NA,1.0000
blurr_left - normal_left,0.8140,TP9,8.0001,NA,1.0000
blurr_left - normal_left,0.8140,TP7,13.2629,pos_151,1.0000
blurr_left - normal_left,0.8140,CP5,9.8390,NA,1.0000
blurr_left - normal_left,0.8140,CP3,9.9461,NA,1.0000
blurr_left - normal_left,0.8140,CP1,3.2494,NA,1.0000
blurr_left - normal_left,0.8140,CPz,-18.5456,neg_247,1.0000
blurr_left - normal_left,0.8140,CP2,-5.5217,NA,1.0000
blurr_left - normal_left,0.8140,CP4,-2.9639,NA,1.0000
blurr_left - normal_left,0.8140,CP6,-0.9341,NA,1.0000
blurr_left - normal_left,0.8140,TP8,-0.4632,NA,1.0000
blurr_left - normal_left,0.8140,TP10,-0.4811,NA,1.0000
blurr_left - normal_left,0.8140,P7,5.5168,NA,1.0000
blurr_left - normal_left,0.8140,P5,4.4692,NA,1.0000
blurr_left - normal_left,0.8140,P3,3.3794,NA,1.0000
blurr_left - normal_left,0.8140,Pz,-2.5278,NA,1.0000
blurr_left - normal_left,0.8140,P4,-1.8599,NA,1.0000
blurr_left - normal_left,0.8140,P6,-1.0476,NA,1.0000
blurr_left - normal_left,0.8140,P8,-0.5818,NA,1.0000
blurr_left - normal_left,0.8140,PO9,5.6147,NA,1.0000
blurr_left - normal_left,0.8140,PO7,3.7268,NA,1.0000
blurr_left - normal_left,0.8140,PO3,2.7397,NA,1.0000
blurr_left - normal_left,0.8140,POz,-8.1128,NA,1.0000
blurr_left - normal_left,0.8140,PO4,-1.8770,NA,1.0000
blurr_left - normal_left,0.8140,PO8,-0.7771,NA,1.0000
blurr_left - normal_left,0.8140,PO10,-0.4655,NA,1.0000
blurr_left - normal_left,0.8140,O1,5.0827,NA,1.0000
blurr_left - normal_left,0.8140,Oz,-0.2598,NA,1.0000
blurr_left - normal_left,0.8140,O2,-0.8874,NA,1.0000
blurr_left - normal_left,0.8160,Fp1,0.2457,NA,1.0000
blurr_left - normal_left,0.8160,Fpz,-1.0607,NA,1.0000
blurr_left - normal_left,0.8160,Fp2,-0.5999,NA,1.0000
blurr_left - normal_left,0.8160,AF7,-0.2386,NA,1.0000
blurr_left - normal_left,0.8160,AF3,-5.3606,NA,1.0000
blurr_left - normal_left,0.8160,AFz,-0.9722,NA,1.0000
blurr_left - normal_left,0.8160,AF4,-1.0762,NA,1.0000
blurr_left - normal_left,0.8160,AF8,0.2735,NA,1.0000
blurr_left - normal_left,0.8160,F9,-1.7980,NA,1.0000
blurr_left - normal_left,0.8160,F7,-8.4800,NA,1.0000
blurr_left - normal_left,0.8160,F5,-1.0813,NA,1.0000
blurr_left - normal_left,0.8160,F3,-0.4137,NA,1.0000
blurr_left - normal_left,0.8160,Fz,-1.5368,NA,1.0000
blurr_left - normal_left,0.8160,F4,-0.4564,NA,1.0000
blurr_left - normal_left,0.8160,F6,0.0866,NA,1.0000
blurr_left - normal_left,0.8160,F8,1.3123,NA,1.0000
blurr_left - normal_left,0.8160,F10,1.3369,NA,1.0000
blurr_left - normal_left,0.8160,FT7,0.3164,NA,1.0000
blurr_left - normal_left,0.8160,FC5,0.9546,NA,1.0000
blurr_left - normal_left,0.8160,FC3,1.0357,NA,1.0000
blurr_left - normal_left,0.8160,FC1,0.6082,NA,1.0000
blurr_left - normal_left,0.8160,FC2,-6.1530,NA,1.0000
blurr_left - normal_left,0.8160,FC4,-19.1720,neg_258,1.0000
blurr_left - normal_left,0.8160,FC6,-1.1971,NA,1.0000
blurr_left - normal_left,0.8160,FT8,-0.8894,NA,1.0000
blurr_left - normal_left,0.8160,T7,0.8236,NA,1.0000
blurr_left - normal_left,0.8160,C5,5.4804,NA,1.0000
blurr_left - normal_left,0.8160,C3,4.8816,NA,1.0000
blurr_left - normal_left,0.8160,C1,11.7188,NA,1.0000
blurr_left - normal_left,0.8160,Cz,0.2754,NA,1.0000
blurr_left - normal_left,0.8160,C2,-8.5597,NA,1.0000
blurr_left - normal_left,0.8160,C4,-33.4556,neg_258,1.0000
blurr_left - normal_left,0.8160,C6,-1.3472,NA,1.0000
blurr_left - normal_left,0.8160,T8,-0.4996,NA,1.0000
blurr_left - normal_left,0.8160,TP9,7.1047,NA,1.0000
blurr_left - normal_left,0.8160,TP7,10.2852,NA,1.0000
blurr_left - normal_left,0.8160,CP5,13.0922,pos_137,1.0000
blurr_left - normal_left,0.8160,CP3,15.6946,pos_137,1.0000
blurr_left - normal_left,0.8160,CP1,4.0830,NA,1.0000
blurr_left - normal_left,0.8160,CPz,-13.9686,neg_247,1.0000
blurr_left - normal_left,0.8160,CP2,-4.9108,NA,1.0000
blurr_left - normal_left,0.8160,CP4,-2.9153,NA,1.0000
blurr_left - normal_left,0.8160,CP6,-0.9484,NA,1.0000
blurr_left - normal_left,0.8160,TP8,-0.5324,NA,1.0000
blurr_left - normal_left,0.8160,TP10,-0.5188,NA,1.0000
blurr_left - normal_left,0.8160,P7,4.7579,NA,1.0000
blurr_left - normal_left,0.8160,P5,4.7733,NA,1.0000
blurr_left - normal_left,0.8160,P3,3.5652,NA,1.0000
blurr_left - normal_left,0.8160,Pz,-2.3984,NA,1.0000
blurr_left - normal_left,0.8160,P4,-1.8405,NA,1.0000
blurr_left - normal_left,0.8160,P6,-1.0750,NA,1.0000
blurr_left - normal_left,0.8160,P8,-0.6179,NA,1.0000
blurr_left - normal_left,0.8160,PO9,3.4457,NA,1.0000
blurr_left - normal_left,0.8160,PO7,3.1907,NA,1.0000
blurr_left - normal_left,0.8160,PO3,2.6533,NA,1.0000
blurr_left - normal_left,0.8160,POz,-13.3254,neg_248,1.0000
blurr_left - normal_left,0.8160,PO4,-1.8803,NA,1.0000
blurr_left - normal_left,0.8160,PO8,-0.8053,NA,1.0000
blurr_left - normal_left,0.8160,PO10,-0.6045,NA,1.0000
blurr_left - normal_left,0.8160,O1,3.5988,NA,1.0000
